Model,Accuracy,F1
LR,0.990421029182446,0.9907982024395463
SVM,0.9975495656048118,0.9976560835286598
TFIDF_LogReg,0.9908665627088439,0.9912336968141972
LSTM,0.977723323680107,0.9787234042553191
